Steel Type,Steel Grade,International Grade,Special Chemical Composition,C,Si,Mn,Cr,Mo,Ni,V,W,Steel Properties,Delivery Condition (HB),Austenitizing Temperature Bottom Range (C) ,Austenitizing Temperature Upper Range (C) ,Quenching Media,200,300,400,500,550,600,Tensile Strength Lower Range (N/mm2),Tensile Strength Upper Range (N/mm2),Yield Strength (N/mm2),Application
PLASTIC MOULD STEELS,2316,2316,,0.38,0.90,0.90,16.00,1.15,,,,"Prehardened stainless mould steel, good machinability.",290 - 330,1000,1040,Oil,47,46,46,47,38,32,,,,"Dies for pressing chemical aggressive compound. Mould base, core and cavity insert, big cavities."
PLASTIC MOULD STEELS,GEST 80 VICTORY,,Precipitation hardened steel,,,,,,,,,"Uniform through hardness even in heavy section, good machinability, good polishability, possibility of repair welding and nitriding, no need stress relieving.",40 HRc,,,,,,,,,,,,,"Injection mould with high demand on surface finish of non-corrosive plastic material, high demand on compressive strength of big mould."
PLASTIC MOULD STEELS,2083 VICTORY,2083 ESR,,0.40,0.30,0.70,13.00,,,,,"Stainless mould steel, high clean material, mirror polishability. Uniform structure (ESR properties), excellent for core and cavity.",220,1000,1040,"Oil, Air",55,54,52,54,54,50,,,,"Cavity and core insert with mirror finish. Dies for artificial resins, corrosive acting synthetic plastic."
HIGH SPEED STEELS,RAPIDUR 3343,3343,,0.9,,0.3,0.3,4.1,5,1.9,6.4,"High speed steel grade, well balanced alloy composition, good toughness and good cutting edge retention.",260,1190,1230,"Air, Hot Bath",62,61,62,64,64,62,,,,"Suitable for all metal cutting tools for roughing and finishing. Fine blanking, cold forging, nozzle, screw tips, blades."
HIGH SPEED STEELS,RAPIDUR 3344,3344,,1.22,,,,4.1,5,2.9,6.4,"High speed steel grade, higher V and C content resulting in combined wear resistance and cutting edge retention with good toughness.",270,1190,1230,"Air, Hot Bath",62,61,62,64,64,62,,,,"Taps, reamers, heavy duty milling cutter, dies, rotary gear shaping punches, piercing die, progressive die."
ALUMINIUM TOOLING,6061,,,,,,,,,,,"Alloy 6061 is excellent machinability, weldability and higher strength, good corrosion resistance, better polishability.",95,,,,,,,,,,,,,General structure parts which require light component.
ALUMINIUM TOOLING,7075,,,,,,,,,,,Alloy 7075 is used for highly stressed structural parts and tensile strength is harder than normal mild steel.,150,,,,,,,,,,,,,"Aircraft fitting, gears, shift regulating valve parts."
COPPER ALLOY,BeCu,,Be 1.9 Co + Ni 0.25,,,,,,,,,"High thermal conductivity, 3 to 4 times better than steel, ensures uniform rapid heat removal, minimizing distortion and warpage.",40 HRc,,,,,,,,,,,,,"Blow mould, pinch offs, neck ring and handle insert, injection mould, mould core, TV cabinet corner insert mould."
MACHINERY STEELS,S50C,CK 50,,0.5,0.3,0.7,,,,,,Medium carbon steel for general mechanical application.,180,820,850,"Oil, Water",,,,,,,600,800,400,"Mould base, backing plate, jigs, fixture."
MACHINERY STEELS,S55C,C 55,,0.55,0.3,0.8,0.3,,,,,"Medium-high carbon steel for applications requiring higher strength than normal S45C, especially used for bigger dimension.",200,820,850,"Oil, Water",,,,,,,625,825,500,"Base plate of stamping tool, high pressure die casting holder block."
MACHINERY STEELS,SCM440,7225,,0.41,0.2,0.75,1.05,0.25,,,,"Chromium, molybdenum-manganese low alloy steel noted for toughness, good torsional strength and good toughness.",290 - 330,820,850,Oil,,,,,,,800,1000,600,"Machinery parts and components, crank shafts, shaft."
MACHINERY STEELS,SCM439,6582,,0.35,0.3,0.65,1.5,0.25,1.6,,,"Heat treatable low alloy steel containing nickel, chromium and molybdenum. Known for toughness and strength. Good hardenability.",290 - 330,820,850,Oil,,,,,,,900,1100,700,"Aircraft landing gear power transmission, heavy duty shaft, gun barrels, suitable for shaft > 100 mm."
